Lemma	Wordlist	Rank	SFI	U	D	F	Rank	Coverage	Cumulative					
under	1 - NGSL	193	67.070	509.30	0.9149	"152,695"	191	0.0006	0.64					
turn	1 - NGSL	194	67.068	509.13	0.9457	"148,179"	200	0.0005	0.65					
few	1 - NGSL	195	67.068	509.06	0.9888	"142,527"	207	0.0005	0.65					
bring	1 - NGSL	196	67.004	501.60	0.9745	"142,239"	208	0.0005	0.65					
early	1 - NGSL	197	66.981	498.97	0.9519	"144,432"	205	0.0005	0.65					
hand	1 - NGSL	198	66.966	497.32	0.9059	"150,181"	197	0.0005	0.65					
state	1 - NGSL	199	66.941	494.40	0.9272	"146,494"	201	0.0005	0.65					
move	1 - NGSL	200	66.930	493.18	0.9913	"137,782"	212	0.0005	0.65					
money	1 - NGSL	201	66.919	491.90	0.9433	"143,537"	206	0.0005	0.65					
fact	1 - NGSL	202	66.863	485.60	0.9855	"136,371"	216	0.0005	0.66					
however	1 - NGSL	203	66.800	478.64	0.8644	"150,527"	195	0.0006	0.64					
area	1 - NGSL	204	66.783	476.79	0.9526	"137,949"	211	0.0005	0.65					
provide	1 - NGSL	205	66.776	475.99	0.8699	"149,056"	198	0.0005	0.65					
name	1 - NGSL	206	66.736	471.60	0.9914	"131,743"	225	0.0005	0.66					
read	1 - NGSL	207	66.727	470.64	0.9822	"132,556"	222	0.0005	0.66					
friend	1 - NGSL	208	66.701	467.86	0.8409	"150,578"	194	0.0006	0.64					
month	1 - NGSL	209	66.698	467.51	0.9762	"132,386"	223	0.0005	0.66					
large	1 - NGSL	210	66.668	464.30	0.9597	"133,439"	219	0.0005	0.66					
business	1 - NGSL	211	66.666	464.07	0.9258	"137,703"	213	0.0005	0.65					
without	1 - NGSL	212	66.642	461.50	0.9830	"129,873"	228	0.0005	0.66					
information	1 - NGSL	213	66.622	459.40	0.8962	"140,209"	210	0.0005	0.65					
open	1 - NGSL	214	66.615	458.64	0.9832	"129,050"	229	0.0005	0.66					
order	1 - NGSL	215	66.594	456.44	0.9482	"132,572"	221	0.0005	0.66					
government	1 - NGSL	216	66.584	455.43	0.9120	"136,964"	215	0.0005	0.65					
word	1 - NGSL	217	66.579	454.92	0.9614	"130,525"	227	0.0005	0.66					
issue	1 - NGSL	218	66.561	452.96	0.9244	"134,635"	217	0.0005	0.66					
